Date,Price of RON95/litre,Price of RON97/litre,Price of Diesel/litre
2022-03-30,2.05,3.83,2.15
2022-04-06,2.05,3.91,2.15
2022-04-13,2.05,3.81,2.15
2022-04-20,2.05,3.81,2.15
2022-04-27,2.05,3.81,2.15
2022-05-04,2.05,3.94,2.15
2022-05-11,2.05,3.94,2.15
2022-05-18,2.05,4.31,2.15
2022-05-25,2.05,4.33,2.15
2022-06-01,2.05,4.70,2.15
2022-06-08,2.05,4.70,2.15
2022-06-15,2.05,4.72,2.15
2022-06-22,2.05,4.83,2.15
2022-06-29,2.05,4.84,2.15
2022-07-06,2.05,4.84,2.15
2022-07-13,2.05,4.80,2.15
2022-07-20,2.05,4.75,2.15
2022-07-27,2.05,4.65,2.15
2022-08-03,2.05,4.55,2.15
2022-08-10,2.05,4.50,2.15
2022-08-17,2.05,4.40,2.15
2022-08-24,2.05,4.35,2.15
2022-08-31,2.05,4.30,2.15
2022-09-07,2.05,4.30,2.15
2022-09-14,2.05,4.20,2.15
2022-09-21,2.05,4.15,2.15
2022-09-28,2.05,4.05,2.15
2022-10-05,2.05,4.00,2.15
2022-10-12,2.05,3.95,2.15
2022-10-19,2.05,3.95,2.15
2022-10-26,2.05,3.95,2.15
2022-11-02,2.05,3.95,2.15
2022-11-09,2.05,3.95,2.15
2022-11-16,2.05,3.95,2.15
2022-11-23,2.05,3.95,2.15
